Customer ID,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,decline_level
CUST058,653.0,649.0,577.0,599.0,256.0,722.0,0.0,519.0,768.0,330.0,114.0,547.0,388.0,0
CUST059,0.0,258.0,964.0,0.0,0.0,0.0,50.0,914.0,217.0,941.0,0.0,905.0,0.0,0
CUST060,391.0,854.0,194.0,0.0,168.0,893.0,726.0,0.0,382.0,759.0,910.0,0.0,0.0,0
CUST061,309.0,782.0,927.0,715.0,715.0,0.0,455.0,0.0,559.0,0.0,0.0,0.0,722.0,1
CUST062,712.0,506.0,396.0,913.0,0.0,825.0,868.0,0.0,878.0,561.0,395.0,100.0,0.0,1
CUST063,765.0,530.0,535.0,0.0,236.0,0.0,674.0,408.0,902.0,0.0,412.0,301.0,216.0,0
CUST064,278.0,600.0,124.0,975.0,862.0,0.0,809.0,763.0,0.0,0.0,0.0,281.0,279.0,1
CUST065,0.0,0.0,729.0,800.0,0.0,0.0,459.0,575.0,441.0,0.0,0.0,162.0,0.0,3
CUST066,0.0,385.0,0.0,523.0,117.0,0.0,0.0,0.0,243.0,0.0,868.0,118.0,0.0,0
CUST067,479.0,0.0,0.0,154.0,899.0,186.0,557.0,970.0,742.0,977.0,261.0,154.0,877.0,0
CUST068,0.0,300.0,363.0,150.0,708.0,338.0,0.0,0.0,902.0,328.0,703.0,517.0,678.0,0
CUST069,250.0,723.0,246.0,613.0,799.0,384.0,184.0,0.0,647.0,772.0,0.0,181.0,480.0,0
CUST070,152.0,300.0,0.0,0.0,0.0,966.0,0.0,355.0,833.0,0.0,0.0,599.0,325.0,0
CUST071,0.0,458.0,0.0,620.0,651.0,0.0,336.0,0.0,380.0,300.0,0.0,0.0,857.0,0
CUST072,133.0,698.0,252.0,0.0,477.0,455.0,687.0,140.0,776.0,973.0,0.0,116.0,728.0,0
CUST073,733.0,229.0,575.0,675.0,0.0,462.0,784.0,921.0,804.0,801.0,0.0,500.0,657.0,0
CUST074,722.0,409.0,0.0,0.0,0.0,197.0,154.0,857.0,326.0,0.0,505.0,763.0,0.0,0
CUST075,0.0,300.0,812.0,116.0,464.0,581.0,549.0,0.0,600.0,0.0,395.0,253.0,172.0,0
CUST076,374.0,712.0,100.0,201.0,965.0,623.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,2
CUST077,0.0,180.0,809.0,299.0,584.0,473.0,565.0,826.0,0.0,0.0,0.0,0.0,636.0,0
CUST078,0.0,982.0,881.0,728.0,236.0,618.0,1500.0,434.0,0.0,0.0,0.0,0.0,0.0,3
CUST079,719.0,0.0,0.0,300.0,251.0,287.0,0.0,197.0,912.0,258.0,0.0,0.0,230.0,0
CUST080,525.0,260.0,496.0,993.0,821.0,115.0,410.0,0.0,207.0,0.0,0.0,592.0,549.0,0
CUST081,847.0,0.0,539.0,796.0,417.0,576.0,0.0,847.0,344.0,0.0,0.0,0.0,371.0,1
CUST082,531.0,769.0,245.0,684.0,804.0,764.0,498.0,423.0,0.0,988.0,475.0,392.0,916.0,0
CUST083,663.0,871.0,960.0,759.0,0.0,683.0,810.0,670.0,252.0,0.0,0.0,100.0,674.0,2
CUST084,198.0,852.0,0.0,872.0,0.0,153.0,620.0,788.0,989.0,672.0,119.0,826.0,146.0,0
CUST085,0.0,150.0,0.0,456.0,709.0,428.0,366.0,422.0,679.0,0.0,0.0,716.0,188.0,0
CUST086,275.0,0.0,0.0,553.0,427.0,350.0,325.0,223.0,0.0,701.0,137.0,0.0,0.0,0
CUST087,246.0,315.0,139.0,667.0,0.0,848.0,958.0,361.0,965.0,139.0,388.0,0.0,0.0,0
CUST088,0.0,525.0,130.0,634.0,493.0,846.0,860.0,925.0,0.0,771.0,0.0,0.0,656.0,0
CUST089,624.0,0.0,212.0,0.0,0.0,322.0,0.0,145.0,766.0,332.0,0.0,116.0,459.0,0
CUST090,136.0,377.0,0.0,321.0,671.0,0.0,295.0,0.0,511.0,0.0,0.0,0.0,434.0,0
CUST091,0.0,0.0,405.0,0.0,309.0,862.0,803.0,786.0,384.0,775.0,369.0,815.0,0.0,0
CUST092,0.0,384.0,198.0,0.0,837.0,0.0,0.0,496.0,615.0,581.0,588.0,0.0,529.0,0
CUST093,402.0,486.0,873.0,606.0,703.0,758.0,2000.0,968.0,539.0,120.0,356.0,552.0,183.0,0
CUST094,0.0,0.0,0.0,690.0,704.0,0.0,408.0,159.0,0.0,756.0,619.0,0.0,529.0,0
CUST095,833.0,0.0,0.0,0.0,0.0,305.0,0.0,951.0,252.0,372.0,554.0,335.0,993.0,0
CUST096,373.0,465.0,437.0,419.0,706.0,0.0,888.0,594.0,0.0,265.0,171.0,600.0,0.0,0
CUST097,0.0,687.0,409.0,771.0,988.0,0.0,562.0,185.0,0.0,691.0,145.0,0.0,0.0,3
CUST098,0.0,785.0,215.0,100.0,202.0,688.0,293.0,0.0,265.0,0.0,765.0,970.0,189.0,0
CUST099,0.0,0.0,469.0,873.0,652.0,322.0,0.0,0.0,172.0,0.0,515.0,458.0,0.0,2
CUST100,226.0,0.0,186.0,0.0,799.0,908.0,623.0,0.0,113.0,111.0,973.0,614.0,0.0,0
CUST1000,911.0,387.0,0.0,648.0,761.0,451.0,411.0,822.0,0.0,0.0,693.0,972.0,406.0,0
CUST101,904.0,258.0,0.0,824.0,463.0,615.0,123.0,831.0,503.0,0.0,0.0,0.0,0.0,2
CUST102,285.0,345.0,470.0,50.0,434.0,839.0,517.0,736.0,854.0,873.0,677.0,0.0,394.0,0
CUST103,480.0,0.0,0.0,417.0,0.0,936.0,652.0,0.0,101.0,392.0,474.0,601.0,927.0,0
CUST104,523.0,400.0,548.0,402.0,165.0,559.0,494.0,0.0,386.0,328.0,262.0,775.0,360.0,0
CUST105,0.0,675.0,0.0,786.0,303.0,0.0,985.0,383.0,0.0,0.0,0.0,220.0,206.0,1
CUST106,0.0,381.0,218.0,134.0,100.0,297.0,392.0,0.0,119.0,896.0,584.0,610.0,0.0,0
CUST107,0.0,896.0,322.0,284.0,0.0,138.0,405.0,225.0,910.0,316.0,0.0,350.0,283.0,0
CUST108,991.0,185.0,474.0,457.0,875.0,616.0,594.0,440.0,228.0,768.0,0.0,107.0,451.0,1
CUST109,701.0,0.0,900.0,100.0,444.0,913.0,460.0,386.0,152.0,246.0,168.0,753.0,403.0,0
CUST110,743.0,0.0,588.0,423.0,480.0,118.0,201.0,593.0,713.0,709.0,258.0,0.0,553.0,0
CUST111,0.0,0.0,0.0,810.0,927.0,516.0,0.0,0.0,0.0,242.0,572.0,704.0,175.0,1
CUST112,0.0,915.0,0.0,893.0,427.0,0.0,549.0,0.0,102.0,0.0,0.0,1500.0,184.0,0
CUST113,442.0,120.0,597.0,990.0,0.0,463.0,913.0,425.0,718.0,435.0,526.0,0.0,506.0,0
CUST114,433.0,663.0,255.0,390.0,0.0,593.0,850.0,992.0,747.0,768.0,472.0,243.0,638.0,0
CUST115,0.0,0.0,411.0,0.0,682.0,340.0,685.0,138.0,258.0,544.0,1500.0,0.0,0.0,0
CUST116,376.0,990.0,658.0,0.0,986.0,0.0,0.0,30.0,825.0,217.0,0.0,0.0,240.0,2
CUST117,711.0,159.0,958.0,149.0,630.0,392.0,679.0,266.0,0.0,0.0,763.0,0.0,0.0,1
CUST118,0.0,0.0,0.0,0.0,754.0,760.0,0.0,761.0,0.0,730.0,531.0,518.0,904.0,0
CUST119,558.0,852.0,266.0,934.0,736.0,379.0,0.0,653.0,0.0,0.0,0.0,799.0,473.0,1
CUST120,169.0,747.0,0.0,0.0,660.0,741.0,927.0,524.0,452.0,616.0,880.0,807.0,990.0,0
CUST121,826.0,308.0,713.0,271.0,0.0,0.0,441.0,0.0,229.0,869.0,0.0,937.0,902.0,0
CUST122,756.0,154.0,111.0,0.0,0.0,0.0,0.0,0.0,732.0,769.0,747.0,0.0,499.0,0
CUST123,899.0,555.0,0.0,883.0,559.0,649.0,0.0,0.0,505.0,842.0,183.0,260.0,0.0,1
CUST124,0.0,0.0,934.0,0.0,295.0,942.0,0.0,801.0,765.0,279.0,506.0,548.0,565.0,0
CUST125,769.0,233.0,172.0,166.0,947.0,0.0,315.0,561.0,528.0,257.0,106.0,902.0,625.0,0
CUST126,352.0,921.0,337.0,194.0,0.0,881.0,388.0,263.0,892.0,932.0,435.0,209.0,921.0,0
CUST127,707.0,111.0,0.0,0.0,227.0,191.0,899.0,679.0,752.0,178.0,636.0,0.0,272.0,0
CUST128,444.0,248.0,562.0,0.0,789.0,198.0,556.0,352.0,155.0,481.0,878.0,182.0,741.0,0
CUST129,0.0,223.0,0.0,600.0,789.0,521.0,0.0,519.0,0.0,162.0,0.0,0.0,330.0,0
CUST130,673.0,345.0,500.0,0.0,749.0,925.0,0.0,760.0,841.0,690.0,570.0,504.0,830.0,0
CUST131,609.0,282.0,263.0,596.0,0.0,564.0,802.0,407.0,494.0,728.0,867.0,799.0,893.0,0
CUST132,492.0,0.0,524.0,0.0,219.0,724.0,291.0,0.0,653.0,496.0,204.0,116.0,0.0,0
CUST133,0.0,900.0,178.0,0.0,955.0,299.0,954.0,825.0,0.0,0.0,875.0,0.0,0.0,1
CUST134,50.0,507.0,0.0,763.0,0.0,116.0,465.0,331.0,376.0,582.0,247.0,925.0,744.0,0
CUST135,237.0,649.0,0.0,0.0,619.0,451.0,0.0,419.0,467.0,722.0,0.0,319.0,436.0,0
CUST136,477.0,469.0,218.0,316.0,689.0,716.0,866.0,0.0,248.0,289.0,877.0,268.0,775.0,0
CUST137,501.0,0.0,764.0,926.0,725.0,0.0,945.0,0.0,282.0,372.0,1000.0,223.0,587.0,0
CUST138,737.0,629.0,401.0,0.0,459.0,138.0,879.0,760.0,596.0,248.0,496.0,332.0,0.0,0
CUST139,661.0,640.0,706.0,535.0,312.0,506.0,0.0,869.0,382.0,562.0,187.0,562.0,0.0,1
CUST140,461.0,207.0,210.0,906.0,0.0,0.0,227.0,235.0,466.0,380.0,0.0,328.0,0.0,0
CUST141,0.0,165.0,0.0,0.0,0.0,830.0,330.0,0.0,401.0,211.0,995.0,0.0,504.0,0
CUST142,310.0,834.0,686.0,0.0,854.0,231.0,169.0,119.0,0.0,797.0,200.0,0.0,923.0,0
CUST143,301.0,287.0,156.0,615.0,871.0,119.0,970.0,372.0,137.0,218.0,504.0,682.0,0.0,0
CUST144,287.0,418.0,0.0,505.0,0.0,977.0,763.0,0.0,159.0,208.0,916.0,310.0,258.0,0
CUST145,575.0,727.0,217.0,0.0,0.0,0.0,212.0,924.0,862.0,0.0,402.0,930.0,862.0,0
CUST146,0.0,701.0,672.0,718.0,936.0,0.0,237.0,149.0,599.0,870.0,604.0,499.0,0.0,0
CUST147,0.0,0.0,0.0,148.0,0.0,0.0,360.0,455.0,931.0,0.0,173.0,803.0,0.0,0
CUST148,695.0,647.0,763.0,0.0,927.0,463.0,507.0,785.0,287.0,0.0,824.0,668.0,642.0,0
CUST149,327.0,718.0,0.0,949.0,940.0,0.0,0.0,912.0,795.0,75.0,349.0,695.0,655.0,0
CUST150,120.0,0.0,995.0,0.0,0.0,591.0,987.0,298.0,0.0,765.0,525.0,754.0,571.0,0
CUST151,952.0,728.0,260.0,483.0,0.0,470.0,956.0,544.0,0.0,994.0,277.0,807.0,524.0,0
CUST152,0.0,628.0,780.0,276.0,593.0,0.0,0.0,522.0,0.0,709.0,697.0,0.0,0.0,1
CUST153,0.0,0.0,534.0,736.0,749.0,443.0,979.0,185.0,778.0,710.0,670.0,687.0,393.0,0
CUST154,0.0,480.0,779.0,0.0,0.0,980.0,0.0,895.0,125.0,900.0,157.0,881.0,703.0,0
CUST155,808.0,0.0,603.0,406.0,535.0,700.0,890.0,367.0,685.0,478.0,878.0,277.0,526.0,0
CUST156,358.0,976.0,874.0,0.0,0.0,485.0,382.0,725.0,0.0,974.0,947.0,0.0,486.0,0
CUST157,0.0,886.0,623.0,913.0,986.0,857.0,228.0,115.0,748.0,643.0,465.0,0.0,674.0,2
CUST158,230.0,800.0,892.0,326.0,0.0,481.0,0.0,452.0,744.0,765.0,295.0,0.0,636.0,0
CUST159,824.0,575.0,230.0,0.0,463.0,0.0,556.0,827.0,0.0,687.0,325.0,975.0,0.0,0
CUST160,936.0,275.0,761.0,995.0,0.0,413.0,174.0,750.0,378.0,0.0,437.0,372.0,719.0,0
CUST161,290.0,905.0,1000.0,242.0,739.0,290.0,858.0,954.0,914.0,615.0,0.0,541.0,678.0,0
CUST162,214.0,863.0,0.0,318.0,0.0,350.0,836.0,944.0,0.0,306.0,506.0,745.0,309.0,0
CUST163,606.0,0.0,955.0,0.0,253.0,0.0,523.0,0.0,695.0,369.0,0.0,380.0,980.0,0
CUST164,735.0,732.0,497.0,862.0,172.0,0.0,0.0,474.0,219.0,886.0,607.0,162.0,817.0,0
CUST165,736.0,140.0,321.0,0.0,0.0,838.0,807.0,721.0,972.0,875.0,613.0,167.0,433.0,0
CUST166,827.0,544.0,581.0,375.0,300.0,423.0,579.0,0.0,0.0,968.0,403.0,783.0,134.0,0
CUST167,604.0,0.0,0.0,231.0,278.0,0.0,0.0,0.0,150.0,649.0,887.0,768.0,0.0,0
CUST168,683.0,764.0,879.0,829.0,868.0,361.0,0.0,313.0,361.0,672.0,821.0,382.0,186.0,1
CUST169,0.0,800.0,503.0,980.0,289.0,654.0,148.0,235.0,0.0,0.0,1500.0,0.0,401.0,0
CUST170,0.0,628.0,652.0,648.0,0.0,955.0,0.0,443.0,876.0,0.0,916.0,918.0,888.0,0
CUST171,367.0,555.0,0.0,683.0,400.0,339.0,0.0,208.0,0.0,544.0,701.0,0.0,0.0,0
CUST172,951.0,786.0,519.0,949.0,758.0,738.0,772.0,584.0,693.0,850.0,423.0,0.0,757.0,1
CUST173,0.0,217.0,650.0,0.0,662.0,365.0,476.0,0.0,942.0,812.0,120.0,918.0,309.0,0
CUST174,932.0,673.0,0.0,300.0,0.0,0.0,367.0,518.0,410.0,312.0,456.0,334.0,912.0,0
CUST175,172.0,129.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,474.0,733.0,0.0,0
CUST176,106.0,520.0,0.0,389.0,539.0,778.0,100.0,0.0,0.0,767.0,295.0,0.0,0.0,0
CUST177,0.0,0.0,100.0,0.0,675.0,491.0,787.0,980.0,424.0,0.0,0.0,0.0,905.0,0
CUST178,0.0,529.0,871.0,333.0,462.0,0.0,254.0,0.0,174.0,547.0,765.0,0.0,656.0,0
CUST179,807.0,0.0,745.0,885.0,0.0,0.0,468.0,300.0,896.0,0.0,0.0,186.0,176.0,1
CUST180,900.0,998.0,920.0,0.0,0.0,0.0,453.0,653.0,208.0,478.0,442.0,515.0,0.0,1
CUST181,0.0,210.0,198.0,863.0,0.0,238.0,0.0,608.0,534.0,0.0,1200.0,372.0,965.0,0
CUST182,163.0,263.0,0.0,190.0,0.0,120.0,965.0,0.0,0.0,216.0,985.0,758.0,0.0,0
CUST183,982.0,681.0,719.0,765.0,0.0,0.0,403.0,623.0,628.0,246.0,0.0,0.0,0.0,3
CUST184,703.0,853.0,786.0,0.0,830.0,0.0,0.0,790.0,564.0,0.0,181.0,850.0,871.0,0
CUST185,800.0,905.0,121.0,819.0,386.0,112.0,593.0,213.0,579.0,936.0,422.0,542.0,0.0,0
CUST186,262.0,118.0,0.0,469.0,893.0,0.0,402.0,363.0,385.0,156.0,0.0,833.0,212.0,0
CUST187,364.0,300.0,901.0,634.0,802.0,775.0,0.0,646.0,203.0,356.0,293.0,227.0,226.0,1
CUST188,457.0,222.0,845.0,0.0,627.0,0.0,182.0,261.0,672.0,474.0,479.0,756.0,165.0,0
CUST189,314.0,0.0,666.0,729.0,731.0,993.0,330.0,664.0,832.0,906.0,126.0,0.0,420.0,0
CUST190,0.0,173.0,0.0,109.0,90.0,555.0,665.0,583.0,0.0,0.0,0.0,0.0,545.0,0
CUST191,730.0,0.0,111.0,0.0,738.0,949.0,859.0,453.0,565.0,389.0,875.0,0.0,0.0,0
CUST192,0.0,988.0,442.0,917.0,424.0,875.0,187.0,489.0,0.0,308.0,0.0,0.0,0.0,3
CUST193,500.0,723.0,520.0,297.0,276.0,182.0,918.0,240.0,0.0,790.0,0.0,0.0,667.0,0
CUST194,0.0,892.0,884.0,975.0,530.0,551.0,0.0,0.0,200.0,0.0,622.0,635.0,0.0,3
CUST195,402.0,595.0,335.0,972.0,0.0,652.0,454.0,970.0,0.0,326.0,867.0,757.0,639.0,0
CUST196,261.0,0.0,954.0,362.0,0.0,848.0,0.0,272.0,900.0,199.0,827.0,720.0,875.0,0
CUST197,749.0,0.0,200.0,153.0,0.0,0.0,217.0,914.0,664.0,412.0,143.0,148.0,624.0,0
CUST198,635.0,270.0,879.0,983.0,0.0,0.0,116.0,508.0,281.0,0.0,640.0,210.0,713.0,0
CUST199,773.0,792.0,601.0,844.0,894.0,0.0,833.0,274.0,798.0,0.0,781.0,1500.0,0.0,0
CUST200,875.0,259.0,327.0,556.0,0.0,0.0,0.0,722.0,324.0,406.0,746.0,430.0,583.0,0
CUST201,570.0,178.0,615.0,203.0,317.0,492.0,304.0,744.0,0.0,223.0,701.0,730.0,511.0,0
CUST202,459.0,0.0,555.0,560.0,400.0,0.0,366.0,493.0,0.0,438.0,0.0,606.0,792.0,0
CUST203,0.0,588.0,341.0,104.0,785.0,981.0,695.0,852.0,893.0,919.0,0.0,0.0,0.0,1
CUST204,0.0,0.0,0.0,489.0,697.0,0.0,552.0,0.0,545.0,393.0,0.0,673.0,0.0,0
CUST205,0.0,679.0,0.0,780.0,966.0,0.0,371.0,0.0,0.0,0.0,681.0,351.0,591.0,0
CUST206,719.0,718.0,372.0,896.0,0.0,453.0,982.0,224.0,0.0,0.0,0.0,0.0,670.0,2
CUST207,138.0,0.0,286.0,695.0,0.0,699.0,0.0,0.0,526.0,692.0,853.0,0.0,953.0,0
CUST208,269.0,421.0,971.0,889.0,712.0,0.0,666.0,827.0,0.0,702.0,555.0,0.0,863.0,0
CUST209,426.0,934.0,0.0,0.0,704.0,705.0,728.0,852.0,0.0,0.0,700.0,503.0,0.0,0
CUST210,0.0,503.0,0.0,253.0,976.0,868.0,0.0,181.0,213.0,0.0,157.0,0.0,423.0,0
CUST211,750.0,923.0,832.0,679.0,760.0,355.0,0.0,848.0,0.0,0.0,0.0,198.0,808.0,2
CUST212,183.0,652.0,0.0,498.0,320.0,208.0,0.0,727.0,467.0,0.0,853.0,0.0,246.0,0
CUST213,532.0,263.0,280.0,347.0,570.0,934.0,635.0,635.0,378.0,103.0,727.0,0.0,389.0,0
CUST214,416.0,184.0,714.0,790.0,0.0,483.0,614.0,490.0,0.0,441.0,914.0,311.0,0.0,0
CUST215,305.0,968.0,0.0,481.0,510.0,0.0,284.0,641.0,801.0,636.0,211.0,0.0,0.0,0
CUST216,261.0,898.0,131.0,0.0,620.0,0.0,100.0,0.0,353.0,866.0,301.0,542.0,0.0,0
CUST217,0.0,932.0,662.0,0.0,852.0,0.0,290.0,200.0,0.0,0.0,0.0,903.0,828.0,0
CUST218,576.0,0.0,0.0,412.0,692.0,0.0,0.0,0.0,90.0,862.0,780.0,0.0,517.0,0
CUST219,882.0,282.0,0.0,0.0,0.0,0.0,164.0,291.0,948.0,0.0,573.0,0.0,0.0,0
CUST220,0.0,0.0,500.0,0.0,999.0,267.0,414.0,858.0,827.0,438.0,950.0,988.0,292.0,0
CUST221,475.0,121.0,305.0,939.0,250.0,0.0,982.0,0.0,412.0,618.0,0.0,613.0,527.0,0
CUST222,196.0,158.0,0.0,668.0,500.0,382.0,987.0,239.0,430.0,168.0,616.0,945.0,217.0,0
CUST223,314.0,25.0,0.0,625.0,0.0,0.0,490.0,793.0,0.0,314.0,0.0,690.0,0.0,0
CUST224,669.0,0.0,301.0,0.0,768.0,50.0,511.0,0.0,424.0,116.0,421.0,0.0,617.0,0
CUST225,735.0,265.0,307.0,891.0,0.0,197.0,902.0,613.0,0.0,685.0,486.0,877.0,444.0,0
CUST226,901.0,466.0,934.0,233.0,513.0,818.0,877.0,408.0,582.0,50.0,0.0,382.0,933.0,0
CUST227,0.0,0.0,659.0,0.0,0.0,0.0,178.0,920.0,0.0,100.0,761.0,414.0,990.0,0
CUST228,265.0,0.0,172.0,60.0,361.0,145.0,336.0,519.0,756.0,275.0,717.0,749.0,899.0,0
CUST229,347.0,0.0,0.0,0.0,959.0,0.0,478.0,172.0,884.0,743.0,0.0,704.0,0.0,0
CUST230,168.0,0.0,836.0,25.0,901.0,535.0,398.0,465.0,0.0,0.0,146.0,674.0,0.0,0
CUST231,150.0,0.0,0.0,542.0,418.0,603.0,688.0,374.0,263.0,0.0,486.0,785.0,0.0,0
CUST232,0.0,964.0,0.0,394.0,468.0,0.0,0.0,0.0,718.0,0.0,956.0,895.0,793.0,0
CUST233,779.0,0.0,648.0,351.0,965.0,718.0,725.0,0.0,0.0,191.0,519.0,629.0,434.0,0
